day,dir,seconds,wall_s,control,brain_mode,dist_Ada,eat_Ada,near_Ada,ign_Ada,lab_Ada,cap_Ada,dist_Bia,eat_Bia,near_Bia,ign_Bia,lab_Bia,cap_Bia,dist_Cleo,eat_Cleo,near_Cleo,ign_Cleo,lab_Cleo,cap_Cleo,dist_Dan,eat_Dan,near_Dan,ign_Dan,lab_Dan,cap_Dan,dist_Edu,eat_Edu,near_Edu,ign_Edu,lab_Edu,cap_Edu,dist_Fil,eat_Fil,near_Fil,ign_Fil,lab_Fil,cap_Fil,encontros,encontros_mf_s,pares_mf,cantos,saltos,capturas,entradas_lab,esferas,presa_agua,convulsao_ticks,fugiram,S1_quase,S1_disparou,S2_quase,S2_disparou,S3_quase,S3_disparou,S4_quase,S4_disparou,agregacao
167,runs\cem\day_0167,60.0,682,Fil,reduced,1.42,0.0,0.0,0.0,0.0,0,4.2,0.0,0.0,0.0,0.0,0,11.34,2.13,0.0,0.0,0.0,0,26.57,0.0,0.0,0.0,0.0,0,3.74,0.0,0.0,0.0,0.0,0,35.41,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,56.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
168,runs\cem\day_0168,60.0,766,Fil,reduced,5.97,0.0,0.2,0.0,0.0,0,8.23,0.0,0.0,0.0,0.0,0,9.15,0.0,0.0,0.0,0.0,0,29.54,0.0,0.0,0.0,3.59,0,111.48,0.0,0.04,0.0,32.15,0,28.87,0.0,0.24,0.0,0.0,2,2.0,0.2,1.0,43.0,276.0,2.0,2.0,1.0,5.0,0.0,0,0,0,0,0,2,0,1,0,0.0013333333333333333
169,runs\cem\day_0169,60.0,1254,Fil,reduced,0.0,59.93,0.0,0.0,0.0,0,26.93,0.0,0.0,0.0,2.16,0,12.41,0.0,0.01,0.0,0.0,0,9.72,0.0,0.0,0.0,0.0,0,17.1,0.0,0.01,0.0,0.0,0,34.24,0.0,0.0,0.0,0.0,0,1.0,0.01,1.0,94.0,100.0,0.0,1.0,0.0,1.0,0.0,0,4,0,0,0,0,0,0,0,0.0
170,runs\cem\day_0170,60.0,814,Fil,reduced,31.26,0.0,0.0,0.0,0.0,0,1.09,59.75,0.0,0.0,0.0,0,20.37,0.0,0.0,0.0,0.0,0,41.76,0.06,0.0,0.0,0.0,0,32.51,0.0,0.0,0.0,0.0,0,22.52,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,96.0,150.0,0.0,0.0,0.0,0.0,0.0,0,8,1,0,0,0,0,0,0,0.0
171,runs\cem\day_0171,60.0,681,Fil,reduced,111.23,0.0,0.0,0.0,31.49,0,12.94,0.0,0.0,0.0,0.0,0,1.78,39.95,0.0,0.0,0.0,0,13.5,0.0,0.0,0.0,0.0,0,57.48,0.0,0.0,0.0,30.75,0,19.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.0,366.0,0.0,2.0,1.0,3.0,0.0,0,0,0,0,0,2,0,0,0,0.0
172,runs\cem\day_0172,60.0,521,Fil,reduced,3.42,0.0,0.0,0.0,0.0,0,12.97,16.59,0.0,0.0,0.0,0,18.1,0.0,0.0,0.0,0.0,0,23.45,0.0,0.0,0.0,48.03,0,15.61,0.0,0.04,0.0,0.0,0,19.72,0.0,0.04,0.0,0.0,0,1.0,0.0,0.0,2.0,82.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0003333333333333333
173,runs\cem\day_0173,60.0,542,Fil,reduced,11.43,0.0,0.0,0.0,0.0,0,6.49,0.0,0.0,0.0,0.0,0,3.24,59.3,0.14,0.0,0.0,0,19.79,0.0,0.14,0.0,0.0,0,33.21,0.0,0.0,0.0,42.24,0,25.17,0.0,0.0,0.0,0.0,0,1.0,0.14,1.0,6.0,108.0,0.0,1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0.0006666666666666666
174,runs\cem\day_0174,60.0,597,Fil,reduced,20.62,0.75,0.0,0.0,0.0,0,3.2,0.0,0.0,0.0,0.0,0,12.74,0.0,0.0,0.0,0.0,0,91.56,4.16,11.87,0.0,33.69,0,28.41,6.58,11.87,0.0,0.0,0,14.62,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,66.0,225.0,0.0,1.0,0.0,1.0,0.0,0,3,0,0,0,1,0,1,0,0.066
175,runs\cem\day_0175,60.0,679,Fil,reduced,7.26,0.0,0.0,0.0,0.0,0,11.8,3.05,0.0,0.0,0.0,0,24.67,0.26,0.69,0.0,0.0,0,23.76,0.24,0.0,0.0,0.0,0,30.85,0.0,0.69,0.0,0.0,0,17.9,0.0,0.0,0.0,0.0,1,1.0,0.69,1.0,24.0,107.0,1.0,0.0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.004
176,runs\cem\day_0176,60.0,722,Fil,reduced,6.45,0.0,0.0,0.0,0.0,0,18.92,44.52,0.0,0.0,0.0,0,4.6,0.0,0.0,0.0,0.0,0,7.34,0.0,0.0,0.0,0.0,0,30.75,0.0,0.0,0.0,0.0,0,22.94,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,0,0,0,0,0,0.0
177,runs\cem\day_0177,60.0,619,Fil,reduced,20.56,0.0,0.01,0.0,0.0,0,9.4,13.34,0.01,0.0,0.0,0,0.0,59.94,0.0,0.0,0.0,0,23.81,1.59,0.14,0.0,0.0,0,109.15,0.0,0.14,0.0,34.19,0,60.39,0.0,0.0,7.0,0.0,0,2.0,0.0,0.0,27.0,381.0,0.0,1.0,1.0,1.0,7.0,0,3,0,0,0,0,0,0,0,0.0006666666666666666
200,runs\cem\day_0200,30.0,405,,reduced,14.58,29.98,0.0,0.0,0.0,0,9.5,0.0,0.0,0.0,0.0,0,33.66,3.08,0.0,0.0,0.0,0,9.88,0.0,0.0,0.0,0.0,0,42.5,0.0,0.0,0.0,0.0,0,22.96,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,120.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
201,runs\cem\day_0201,30.0,315,,reduced,12.6,0.0,0.0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0,1.14,55.56,0.0,0.0,0.0,0,14.56,8.74,0.0,0.0,0.0,0,16.08,0.0,0.0,0.0,0.0,0,59.16,0.0,0.0,0.0,4.08,0,0.0,0.0,0.0,346.0,150.0,0.0,2.0,0.0,4.0,0.0,0,2,1,0,0,0,0,0,0,0.0
202,runs\cem\day_0202,30.0,342,,reduced,9.2,30.42,37.86,0.0,0.0,0,28.48,0.64,0.0,0.0,0.0,0,14.1,11.96,37.86,0.0,0.0,0,19.46,0.0,0.0,0.0,0.0,0,19.1,0.0,0.0,0.0,0.0,0,26.06,0.08,0.0,0.0,0.0,0,2.0,0.0,0.0,10.0,138.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.21033333333333334
