condition,ignited,trials,spikes_per_trial,wall_s,MN9_L,MN9_R,MN9_all,gf_L,gf_R,gf_all,dnp09_L,dnp09_R,dnp09_all,odn1_L,odn1_R,odn1_all,dna01_L,dna01_R,dna01_all,dna02_L,dna02_R,dna02_all,mdn_L,mdn_R,mdn_all,adn_L,adn_R,adn_all,halt_L,halt_R,halt_all,pc1_L,pc1_R,pc1_all,p1_L,p1_R,p1_all,aipg_L,aipg_R,aipg_all,tk_L,tk_R,tk_all,pip10_L,pip10_R,pip10_all,vpr6_L,vpr6_R,vpr6_all,dnp13_L,dnp13_R,dnp13_all,asp22_L,asp22_R,asp22_all,da1_lpn_L,da1_lpn_R,da1_lpn_all
jo_a_L,0,2,13173.5,15.452606439590454,0.8910506836925184,0.0,0.4455253418462592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240940902487407,1.6204704512437036,0.0,1.7938167525199848,0.8969083762599924,14.809167945264008,11.209080375916086,13.009124160590048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022477578532152376,0.022477578532152376,0.022477578532152376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8786498741754853,0.4393249370877427,0.0,0.0,0.0
jo_a_R,0,2,765.5,4.795916795730591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_b_L,0,2,10873.5,14.337697982788086,1.9337789925244475,0.0,0.9668894962622238,54.2113328164382,0.0,27.1056664082191,0.0,0.0,0.0,1.0841037273214302,0.0,0.5420518636607151,0.0,1.5050489495918042,0.7525244747959021,0.5514318740979254,2.0148377758883464,1.283134824993136,12.166581006568395,12.095278483921444,12.130929745244918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0148377758883464,1.0074188879441732,0.0,0.0,0.0
jo_b_R,0,2,681.5,4.255859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_ce_L,0,2,15998.0,12.778131246566772,1.668461275764122,0.0,0.834230637882061,0.0,0.0,0.0,1.0742580092999374,0.0,0.5371290046499687,0.7849522713437161,0.7849522713437161,0.7849522713437161,0.0,0.0,0.0,0.0,1.3017236303083644,0.6508618151541822,19.603694422780187,15.555187509090683,17.579440965935433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027454176415932733,0.027454176415932733,0.027454176415932733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3660205567878096,0.6830102783939048,0.0,0.0,0.0
jo_ce_R,0,2,7904.5,8.175057172775269,12.802977826030698,0.0,6.401488913015349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.210678134217851,4.8835492364,5.047113685308926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7163891281707535,2.7163891281707535,2.7163891281707535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1692589671595353,1.5846294835797676,0.0,0.0,0.0
lc4_L,0,2,44370.0,22.373002529144287,0.0,0.0,0.0,238.95813371037042,41.12634775071923,140.0422407305448,0.0,0.0,0.0,0.024671913299325023,0.0,0.012335956649662512,0.0,22.266001618443987,11.133000809221993,0.0,0.0,0.0,0.0,0.04557553785916646,0.02278776892958323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009201542399499298,0.004600771199749649,0.0,0.02424076692594574,0.01212038346297287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc4_R,0,2,34571.0,27.013856172561646,0.0,0.0,0.0,89.64295925912467,204.69064967497553,147.1668044670501,0.0,0.0,0.0,0.0,0.0,0.0,0.01506717147644208,0.0,0.00753358573822104,0.0,0.0,0.0,0.03731409443336942,0.08288963229253594,0.06010186336295265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lplc2_L,2,2,1955.5,4.916057109832764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lplc2_R,0,2,37135.5,21.47995352745056,0.0,0.0,0.0,128.41246825989805,176.356241304302,152.38435478210005,0.0,0.0,0.0,0.0,0.0,0.0,1.3740715629438232,0.0,0.6870357814719116,0.03347025627544069,0.0,0.016735128137720344,4.541095837443225,1.8820812937552083,3.2115885655992167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.345088642686404,2.672544321343202,0.0,0.21176677375352274,0.10588338687676137,0.0,0.0,0.0,0.0,0.3937833047364105,0.1575133218945643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc11_L,0,2,4672.0,9.022802591323853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26778375524917897,0.0,0.13389187762458948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc11_R,0,2,9691.5,13.989012956619263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0587255161033036,2.0587255161033036,2.0587255161033036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520920249079418,0.6760460124539709,0.0,0.3248276275090828,0.1624138137545414,0.0,0.0,0.0,0.6735204119606377,7.1320786328306855,3.9027995223956617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cva+ppk23_R,0,2,4159.5,5.50307297706604,6.976115180953734,0.0,3.488057590476867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1289926381575421,0.006167978324831256,0.07230433361936789
cva+song_R,0,2,8676.0,7.442657470703125,4.841600300052051,0.0,2.4208001500260257,0.0,1.900246385727011,0.9501231928635056,0.0,0.0,0.0,0.0,0.36963583923084015,0.18481791961542007,0.0,0.0,0.0,0.0,0.20286044968726585,0.10143022484363293,1.4335862158115193,0.8211100727822378,1.1273481442968782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020559927749437524,0.0009489197422817315
cva+lc11_R,0,2,13023.0,15.584176063537598,19.491735627203656,0.0,9.745867813601828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1649572540728275,1.0824786270364137,0.0,0.0,0.0,2.0587255161033036,1.0293627580516518,1.5440441370774776,0.0,0.0,0.0,0.0,0.0,0.0,3.160780780133859,3.243101559683238,3.201941169908547,0.40608957272750074,1.7540704639074902,1.0800800183174952,0.0,0.4301996554818977,0.21509982774094885,0.0,0.0,0.0,2.0587255161033036,9.773426275150541,5.916075895626923,0.0,0.0,0.0,15.173550281808614,15.075987186691094,15.124768734249853,4.353301854791543,4.353301854791543,4.353301854791543,0.0,0.006813443888525161,0.0031446664100885377
sugar+bitter_R,0,2,8289.0,8.071539163589478,0.0,0.0,0.0,0.0,0.0,0.0,1.5050489495918042,0.0,0.7525244747959021,3.0039961925853116,1.5050489495918042,2.254522571088558,0.0,0.0,0.0,0.0,2.0785926096984917,1.0392963048492458,9.895326822862916,7.7844936024567435,8.839910212659833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loom_both,2,2,3792.5,4.203570127487183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
