condition,MN9,gf,dnp09,odn1,dna01,dna02,mdn,adn,halt,pc1,p1,aipg,tk,pip10,vpr6,dnp13,asp22,da1_lpn
lc4_L,0.0,140.0422407305448,0.0,0.012335956649662512,11.133000809221993,0.0,0.02278776892958323,0.0,0.0,0.004600771199749649,0.01212038346297287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc4_R,0.0,147.1668044670501,0.0,0.0,0.00753358573822104,0.0,0.06010186336295265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lplc2_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lplc2_R,0.0,152.38435478210005,0.0,0.0,0.6870357814719116,0.016735128137720344,3.2115885655992167,0.0,0.0,2.672544321343202,0.10588338687676137,0.0,0.1575133218945643,0.0,0.0,0.0,0.0,0.0
lc11_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13389187762458948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc11_R,0.0,0.0,0.0,0.0,0.0,0.0,2.0587255161033036,0.0,0.0,0.0,0.6760460124539709,0.1624138137545414,0.0,3.9027995223956617,0.0,0.0,0.0,0.0
cva+ppk23_R,3.488057590476867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07230433361936789
cva+song_R,2.4208001500260257,0.9501231928635056,0.0,0.18481791961542007,0.0,0.10143022484363293,1.1273481442968782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009489197422817315
cva+lc11_R,9.745867813601828,0.0,0.0,0.0,1.0824786270364137,0.0,1.5440441370774776,0.0,0.0,3.201941169908547,1.0800800183174952,0.21509982774094885,0.0,5.916075895626923,0.0,15.124768734249853,4.353301854791543,0.0031446664100885377
sugar+bitter_R,0.0,0.0,0.7525244747959021,2.254522571088558,0.0,1.0392963048492458,8.839910212659833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loom_both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
