condition,ignited,trials,spikes_per_trial,wall_s,MN9_L,MN9_R,MN9_all,gf_L,gf_R,gf_all,dnp09_L,dnp09_R,dnp09_all,odn1_L,odn1_R,odn1_all,dna01_L,dna01_R,dna01_all,dna02_L,dna02_R,dna02_all,mdn_L,mdn_R,mdn_all,adn_L,adn_R,adn_all,halt_L,halt_R,halt_all,pc1_L,pc1_R,pc1_all,aipg_L,aipg_R,aipg_all,vpodn_L,vpodn_R,vpodn_all,dnp13_L,dnp13_R,dnp13_all,asp22_L,asp22_R,asp22_all,da1_lpn_L,da1_lpn_R,da1_lpn_all
jo_b_R,0,2,2493.5,3.7345046997070312,0.0,0.0,0.0,0.0,2.20411052806111,1.102055264030555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_ce_L,0,2,6267.0,4.357746601104736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_ce_R,0,2,6022.0,4.393951892852783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc4_L,0,2,4387.5,7.7354347705841064,0.0,0.0,0.0,57.777802294590145,39.86192119967573,48.81986174713294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.616216060244035,10.808108030122018,0.0,11.36629506661344,5.68314753330672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc4_R,0,2,3960.0,8.297626733779907,0.0,0.0,0.0,33.13810923157073,65.22269048019791,49.18039985588432,0.0,0.0,0.0,0.0,0.16608808874219322,0.08304404437109661,14.612221976514999,0.0,7.306110988257499,8.88284922134012,0.0,4.44142461067006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lplc2_L,0,2,8518.0,6.830085515975952,0.0,0.0,0.0,88.70908254252964,79.02223694169882,83.86565974211425,0.0,0.0,0.0,19.627093473617542,4.80937176985245,12.218232621734995,0.0,21.622759603689076,10.811379801844538,0.0,20.83518705403344,10.41759352701672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5101997496547006,0.0,1.2550998748273503,0.0,0.0,0.0,0.0,0.0,0.0
lplc2_R,0,2,9144.0,11.053385496139526,0.0,0.0,0.0,75.0244729583016,108.81351292306744,91.91899294068452,0.0,0.0,0.0,0.018403084798998597,13.474715010152176,6.7465590474755865,13.201553783280662,0.0,6.600776891640331,36.745813457047724,0.0,18.372906728523862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc11_L,0,2,3970.5,7.218080997467041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.416890169234167,2.798591137448387,4.107740653341277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc11_R,0,2,3868.5,5.635041236877441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03013434295288416,0.01506717147644208,10.289222055447622,12.625402729499513,11.457312392473568,0.0,2.116359245465913,1.0581796227329565,7.296505949561187,2.608533981369026,4.952519965465107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cva+song_R,0,2,6639.0,4.405497074127197,0.0,0.0,0.0,0.0,18.83089177088638,9.41544588544319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.821343537022713,5.913972674914046,6.397903801372001
cva+lc11_R,0,2,6593.0,8.71850037574768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03013434295288416,0.01506717147644208,12.236584684439313,12.63320100174227,12.434892843090793,0.0,5.246293283458636,2.623146641729318,5.2482663141919765,2.357019438703254,3.8026428764476154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.693659114412746,4.607463314947917,4.6534344079958245
sugar+bitter_R,0,2,3389.5,3.8326947689056396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loom_both,0,2,21733.0,13.370715141296387,0.0,0.0,0.0,127.07994720487585,143.44003112099819,135.25998916293702,0.0,0.0,0.0,3.327646609941895,1.6638233049709474,2.4957349574564214,2.8312376350748614,2.095416750023372,2.4633271925491167,4.146106584260965,7.249310063194841,5.697708323727903,0.0,1.2063657834212334,0.6031828917106167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
